routeName,addressPrefix,nextHopType,nextHopIp
1001,0.0.0.0/5,Internet,
1002,8.0.0.0/7,Internet,
1003,11.0.0.0/8,Internet,
1004a,12.0.0.0/6,Internet,
1004b,16.0.0.0/4,Internet,
1004c,32.0.0.0/3,Internet,
1004d,64.0.0.0/3,Internet,
1005,96.0.0.0/4,Internet,
1006,112.0.0.0/5,Internet,
1007,120.0.0.0/6,Internet,
1008,124.0.0.0/7,Internet,
1009,126.0.0.0/8,Internet,
1010,128.0.0.0/3,Internet,
1011,160.0.0.0/8,Internet,
1011a,161.0.0.0/8,Internet,
1011b,162.0.0.0/7,Internet,
1011c,164.0.0.0/6,Internet,
1012,168.0.0.0/6,Internet,
1013,172.0.0.0/12,Internet,
1014,172.32.0.0/11,Internet,
1015,172.64.0.0/10,Internet,
1016,172.128.0.0/9,Internet,
1017,173.0.0.0/8,Internet,
1018,174.0.0.0/7,Internet,
1019,176.0.0.0/4,Internet,
1020,192.0.0.0/9,Internet,
1021,192.128.0.0/11,Internet,
1022,192.160.0.0/11,Internet,
1025,192.208.0.0/12,Internet,
1026,192.232.0.0/13,Internet,
1027,192.244.0.0/14,Internet,
1028,192.250.0.0/15,Internet,
1029,192.252.0.0/15,Internet,
1030,193.0.0.0/8,Internet,
1031,194.0.0.0/7,Internet,
1032,196.0.0.0/6,Internet,
1033,200.0.0.0/5,Internet,
1034,208.0.0.0/4,Internet,
1035,240.0.0.0/4,Internet,
